"구분(1)",구분(2),구분(3),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"총배출량",소계,소계,292.105,315.353,343.354,378.546,403.569,433.788,470.280,501.912,431.434,469.415,502.730,516.009,538.458,548.808,557.059,561.522,567.057,580.469,594.047,598.040,656.120,684.756,688.044,697.298,692.089,692.626,693.688,710.645,726.978,701.214,656.223
"순배출량",소계,소계,254.170,281.397,310.228,347.006,369.648,401.639,434.445,461.310,382.516,412.347,442.647,456.481,481.113,491.950,498.793,505.213,509.621,522.355,535.013,539.203,600.041,629.525,638.791,652.281,646.223,646.066,646.753,668.957,686.643,663.504,618.347
"1. 에너지",소계,소계,240.294,258.113,278.996,308.500,327.800,352.001,385.582,411.618,351.493,382.113,411.585,425.929,445.255,452.962,460.071,469.373,474.785,492.405,506.555,513.042,565.692,594.655,596.005,604.527,596.948,600.266,602.228,615.645,632.629,611.567,569.917
"1. 에너지",A. 연료연소,소계,235.182,253.554,275.206,305.340,325.067,349.613,383.186,409.141,349.142,379.577,408.915,423.225,442.541,450.178,457.010,466.261,471.615,489.011,503.103,509.795,561.912,590.615,591.654,600.057,592.856,596.502,598.332,611.668,628.202,607.370,565.711
"1. 에너지",A. 연료연소,1. 에너지산업,48.351,54.790,62.375,68.765,83.606,91.685,108.978,122.325,106.295,116.150,136.124,147.477,155.764,159.993,172.849,179.004,185.847,197.250,210.718,229.409,254.797,262.388,266.406,272.977,258.467,260.499,262.104,269.764,286.399,266.225,237.038
"1. 에너지",A. 연료연소,2. 제조업 및 건설업,76.558,88.000,97.959,108.051,112.797,115.848,124.013,129.602,120.271,125.755,130.645,131.298,137.370,139.701,137.412,137.892,139.452,144.300,149.316,138.744,162.915,184.640,180.535,182.060,193.761,188.485,182.566,187.756,188.049,187.612,181.597
"1. 에너지",A. 연료연소,3. 수송,35.492,38.595,43.960,55.552,57.566,64.727,68.803,74.193,57.543,62.564,69.910,73.064,78.042,80.844,81.001,81.814,82.631,85.027,82.852,83.723,85.445,85.116,86.481,88.405,88.717,94.192,98.775,98.330,98.102,100.989,96.176
"1. 에너지",A. 연료연소,4. 기타,74.599,67.514,67.971,69.824,68.259,74.542,78.324,80.101,62.380,72.384,69.835,68.278,68.536,66.329,62.608,64.332,60.842,59.537,57.624,55.050,55.816,55.599,55.312,53.641,49.056,50.233,51.820,52.629,52.537,49.603,47.994
"1. 에너지",A. 연료연소,5. 미분류,0.181,4.655,2.941,3.148,2.838,2.812,3.068,2.920,2.653,2.724,2.401,3.108,2.829,3.312,3.140,3.219,2.842,2.898,2.593,2.868,2.939,2.872,2.920,2.974,2.854,3.092,3.067,3.189,3.115,2.941,2.907
"1. 에너지",B. 탈루,소계,5.112,4.559,3.790,3.160,2.733,2.387,2.396,2.476,2.351,2.536,2.669,2.704,2.713,2.785,3.060,3.111,3.170,3.394,3.452,3.247,3.780,4.041,4.351,4.470,4.092,3.764,3.897,3.976,4.427,4.198,4.206
"1. 에너지",B. 탈루,1. 고체연료,4.833,4.227,3.360,2.641,2.077,1.606,1.390,1.267,1.224,1.178,1.165,1.071,0.931,0.926,0.896,0.795,0.793,0.810,0.778,0.707,0.585,0.585,0.588,0.509,0.491,0.495,0.484,0.417,0.337,0.304,0.286
"1. 에너지",B. 탈루,2. 석유 및 천연가스,0.280,0.332,0.430,0.519,0.657,0.782,1.007,1.210,1.127,1.358,1.505,1.632,1.782,1.859,2.165,2.316,2.378,2.584,2.673,2.540,3.195,3.456,3.763,3.961,3.601,3.269,3.412,3.560,4.090,3.893,3.920
"2. 산업공정",소계,소계,20.445,24.351,29.955,34.423,38.743,43.147,44.771,49.644,40.766,48.424,50.870,49.389,53.683,56.489,58.665,54.562,54.323,51.145,50.734,47.787,53.006,52.954,54.434,55.064,57.917,54.493,53.467,56.454,55.796,52.169,48.528
"2. 산업공정",A. 광물산업,소계,18.823,22.482,24.880,28.968,31.135,32.713,32.976,34.157,27.454,28.458,29.664,30.759,32.244,33.121,31.762,29.056,29.001,32.738,32.609,30.555,31.658,33.338,33.586,33.825,35.084,35.583,36.527,36.595,35.015,35.113,32.341
