"구분(1)",구분(2),구분(3),구분(4),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"CO₂",총배출량,소계,소계,251.990,274.849,299.733,334.691,356.981,384.258,418.603,446.183,379.352,411.461,443.674,459.378,478.860,487.339,492.761,498.236,504.047,524.348,538.166,542.535,595.375,625.981,627.796,636.638,629.870,634.321,637.428,650.220,664.976,643.767,599.813
"CO₂",1. 에너지,소계,소계,231.676,250.415,272.443,302.783,322.731,347.331,380.862,406.740,346.975,377.249,406.385,420.577,439.705,447.252,454.032,463.164,468.447,485.692,499.664,506.308,558.143,586.509,587.476,595.950,588.570,592.034,593.888,606.574,622.992,602.316,561.031
"CO₂",1. 에너지,A. 연료연소,소계,231.676,250.415,272.443,302.783,322.731,347.331,380.862,406.740,346.975,377.249,406.385,420.577,439.705,447.252,454.032,463.164,468.447,485.692,499.664,506.308,558.143,586.509,587.476,595.950,588.570,592.034,593.888,606.574,622.992,602.316,561.031
"CO₂",1. 에너지,A. 연료연소,1.에너지산업,48.188,54.606,62.167,68.529,83.313,91.361,108.584,121.877,105.879,115.696,135.585,146.892,155.143,159.350,172.167,178.291,185.097,196.465,209.863,228.450,253.769,261.268,265.293,271.833,257.201,259.201,260.758,267.967,284.494,264.435,235.488
"CO₂",1. 에너지,A. 연료연소,2. 제조업 및 건설업,76.130,87.508,97.356,107.371,112.082,115.105,123.208,128.736,119.418,124.858,129.675,130.288,136.308,138.604,136.263,136.744,138.277,143.046,148.015,137.505,161.490,183.162,179.012,180.458,192.094,186.750,180.910,185.959,186.273,185.870,179.911
"CO₂",1. 에너지,A. 연료연소,3. 수송,35.257,38.336,43.663,55.192,57.176,64.289,68.330,73.687,57.119,62.093,69.375,72.496,77.439,80.223,80.376,81.176,81.978,84.346,82.173,83.023,84.727,84.407,85.774,87.689,88.012,93.463,98.032,97.596,97.378,100.251,95.484
"CO₂",1. 에너지,A. 연료연소,4. 기타,71.921,65.335,66.332,68.561,67.338,73.779,77.688,79.535,61.920,71.894,69.363,67.811,68.002,65.781,62.104,63.750,60.269,58.952,57.034,54.478,55.234,54.816,54.493,53.012,48.423,49.545,51.138,51.881,51.749,48.835,47.257
"CO₂",1. 에너지,A. 연료연소,5. 미분류,0.180,4.629,2.925,3.131,2.822,2.796,3.051,2.905,2.638,2.709,2.388,3.091,2.814,3.294,3.123,3.202,2.826,2.882,2.579,2.852,2.923,2.856,2.904,2.958,2.839,3.075,3.050,3.172,3.098,2.925,2.891
"CO₂",2. 산업공정,소계,소계,18.920,22.562,24.968,29.078,31.259,32.855,33.127,34.328,27.595,28.633,29.844,30.934,32.428,33.308,31.962,29.261,29.146,32.920,32.830,30.712,31.837,33.518,33.769,34.004,35.256,35.722,36.679,36.755,35.176,35.279,32.453
"CO₂",2. 산업공정,A. 광물 산업,소계,18.823,22.482,24.880,28.968,31.135,32.713,32.976,34.157,27.454,28.458,29.664,30.759,32.244,33.121,31.762,29.056,29.001,32.738,32.609,30.555,31.658,33.338,33.586,33.825,35.084,35.583,36.527,36.595,35.015,35.113,32.341
"CO₂",2. 산업공정,B. 화학 산업,소계,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.003,0.033,0.032,0.031,0.030,0.030,0.032,0.011,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
